Nickname,Friends
Tyrone,"Guhbeen,Riley,Maxine"
Leon,Tic
Mama Mary,"Recurrence, Pi"
Guhbeen,"Tyrone, Maxine, Riley"
Pi,"Pat, Mama Mary, Rafu, Recurrence, clyls, Kotse, Riley"
mrwhoyou,"material gworl, Bee, fat, Wangky, foodpanda intern, sergei, Rafu"
silentknight,"Atlas, Oppa, Liberation"
Oppa,"silentknight, Atlas, Liberation"
fat,"Wangky, sergei, foodpanda intern, mrwhoyou"
Riley,"Guhbeen, Maxine, Tyrone, Pi"
Kotse,"cutiepatootie, messi, jansha, clyls, Jarrett, Pi, Pat"
Jian,"Mabriel, Jarc, Wangky, oops"
sergei,"fat, mrwhoyou, Wangky, foodpanda intern, cutiepatootie"
Wangky,"fat, sergei, foodpanda intern, mrwhoyou, Jian, Jarc, Mabriel"
Atlas,"Liberation, Oppa , silentknight, Jarrett, clyls"
foodpanda intern,"fat, Wangky, sergei, mrwhoyou"
Jarc,"Jian, Mabriel, Wangky, oops"
Mabriel,"Jarc, Jian, Wangky, oops"
Wowo,"jatdog, Borzoi, Kachow"
Maxine,"Riley, Tyrone, Gavin"
Jarrett,"Bee, Rafu, material gworl, jansha, Kotse, clyls, esoj, Liberation"
Recurrence,"Mama Mary, Pi"
Liberation,"Atlas, Oppa, silentknight, Jarrett"
messi,"cutiepatootie, Kotse, jansha"
Tic,Leon
jansha,"clyls, kotse, messi, gian, ransupi, winter, jarrett"
winter,"jansha,ransupi,gian,clyls"
cutiepatootie,"sergei, Kotse, messi"
ransupi,"gian, clyls, jansha, winter, Bee, Esoj"
Pat,"Pi, Kotse"
clyls,"ransupi, jansha, winter, gian, Pi, Kotse, Atlas, Esoj, Jarrett"
Kachow,"jatdog, Wowo, Borzoi"
jatdog,"Kachow, Wowo, Borzoi"
material gworl,"Bee, Rafu, mrwhoyou, Jarrett, Esoj"
Rafu,"material gworl, Esoj, Bee, Pi, Jarrett"
oops,"Jian, Jarc, Mabriel"
gian,"Bee,ransupi,clyls,jansha,winter"
Bee,"gian, ransupi, material gworl, Esoj, Rafu, Jarrett, mrwhoyou"
Esoj,"Rafu,material gworl,Bee,Jarrett,clyls,ransupi"
Borzoi,"Kachow, Wowo, jatdog"